Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
-,-,pootify,-,1316.77,-1.92,1572.96,0.0,85.4,0.64,24,0.0,12,0.0,12,0.0,0,0.0,50.0,0.0,2025-02-01,-,0,1067.0
-,-,darkstar75,IT,1316.62,-3.66,1467.46,0.0,50.28,1.22,240,0.0,116,0.0,123,0.0,1,0.0,48.33,0.0,2023-02-12,-,0,-
997,8,RoboKay314,US,1316.42,22.43,1385.25,24.66,22.94,0.75,894,40.0,358,25.0,531,15.0,5,0.0,40.04,1.05,2026-08-17,-,0,486.0
-,-,Emiliano,IT,1316.41,-3.77,1453.03,0.0,45.54,1.26,381,0.0,169,0.0,210,0.0,2,0.0,44.36,0.0,2024-04-04,-,0,-
998,-56,rrobby,IT,1316.39,-4.09,1441.22,0.0,41.61,1.36,106,0.0,41,0.0,64,0.0,1,0.0,38.68,0.0,2026-05-30,-,0,1287.0
999,-40,Rick80,-,1316.37,1.74,1391.54,4.16,25.05,0.81,704,23.0,297,11.0,403,12.0,4,0.0,42.19,0.19,2026-08-13,-,0,618.0
1000,-19,Gabilou,-,1316.26,13.56,1420.5,13.34,34.75,-0.07,188,13.0,83,6.0,104,7.0,1,0.0,44.15,0.15,2026-08-12,-,0,720.0
-,-,tolong,-,1316.11,-2.09,1550.44,0.0,78.11,0.7,36,0.0,19,0.0,17,0.0,0,0.0,52.78,0.0,2021-06-02,-,0,-
1001,-10,colepiechotta,-,1315.72,15.85,1470.32,10.27,51.54,-1.86,61,6.0,24,3.0,37,3.0,0,0.0,39.34,1.16,2026-07-29,-,0,989.0
1002,-77,dmhalford,IT,1315.64,-12.04,1397.52,-9.53,27.29,0.84,810,17.0,324,3.0,479,13.0,7,1.0,40.0,-0.48,2026-07-24,-,0,700.0
1003,-51,vansmith3555,-,1315.43,-2.6,1504.29,0.0,62.95,0.87,45,0.0,22,0.0,23,0.0,0,0.0,48.89,0.0,2026-03-29,-,0,-
1004,-58,tanman,-,1315.41,-4.78,1392.61,-2.28,25.73,0.83,933,22.0,386,9.0,535,13.0,12,0.0,41.37,-0.01,2026-07-28,-,0,570.0
-,-,HansBugge,NO,1315.08,-5.27,1416.68,0.0,33.87,1.76,574,0.0,273,0.0,295,0.0,6,0.0,47.56,0.0,2025-04-30,-,0,700.0
-,-,grantfive,-,1314.91,-2.43,1516.56,0.0,67.21,0.81,60,0.0,33,0.0,26,0.0,1,0.0,55.0,0.0,2022-03-06,-,0,-
-,-,3soteric,-,1314.85,-1.64,1612.67,0.0,99.27,0.55,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2021-05-26,-,0,-
1005,-57,Chrono_,-,1314.8,-4.6,1421.9,0.0,35.7,1.53,188,0.0,81,0.0,107,0.0,0,0.0,43.09,0.0,2026-01-29,-,0,534.0
1006,-19,Ulyssess,IT,1314.71,13.92,1391.02,16.12,25.44,0.73,773,24.0,306,14.0,461,10.0,6,0.0,39.59,0.6,2026-08-03,-,0,491.0
1007,-52,Czarny,-,1314.54,-2.81,1490.04,0.0,58.5,0.94,44,0.0,24,0.0,20,0.0,0,0.0,54.55,0.0,2026-03-22,-,0,-
1008,-72,Jolli,-,1314.23,-10.53,1388.05,-8.88,24.61,0.55,531,30.0,219,8.0,304,21.0,8,1.0,41.24,-0.88,2026-07-30,-,0,500.0
