Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1306,-31,Wing,-,884.84,-1.54,1202.05,0.0,105.74,0.51,14,0.0,2,0.0,12,0.0,0,0.0,14.29,0.0,2025-12-08,-,0,1118.0
-,-,hors7,-,884.63,-2.05,1124.56,0.0,79.97,0.68,30,0.0,2,0.0,27,0.0,1,0.0,6.67,0.0,2023-11-15,-,0,-
-,-,scalp,-,883.69,-1.9,1142.84,0.0,86.38,0.63,36,0.0,8,0.0,27,0.0,1,0.0,22.22,0.0,2021-03-02,-,0,-
-,-,Aogaog,-,883.66,-1.24,1278.11,0.0,131.48,0.41,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2020-08-17,-,0,-
1307,new,chessmonster,-,883.08,433.08,1452.69,-47.31,189.87,189.87,4,4.0,3,3.0,1,1.0,0,0.0,75.0,75.0,2026-08-12,-,0,-
-,-,Pastiness,-,882.76,-1.26,1272.99,0.0,130.08,0.42,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2024-04-04,-,0,-
-,-,ThonosP,BE,881.64,-1.53,1201.87,0.0,106.75,0.51,18,0.0,3,0.0,14,0.0,1,0.0,16.67,0.0,2024-06-16,-,0,-
-,-,Moon2g,-,881.05,-1.59,1189.67,0.0,102.87,0.53,30,0.0,6,0.0,23,0.0,1,0.0,20.0,0.0,2020-06-28,-,0,-
1308,-31,paroova,-,880.97,-1.03,1355.79,0.0,158.27,0.34,6,0.0,1,0.0,5,0.0,0,0.0,16.67,0.0,2025-12-05,-,0,-
-,-,Jerry_Kacmar,-,880.84,-1.44,1220.88,0.0,113.35,0.48,18,0.0,3,0.0,15,0.0,0,0.0,16.67,0.0,2020-12-02,-,0,-
1309,-33,Daliman13,-,880.59,-2.13,1110.59,0.0,76.67,0.71,54,0.0,8,0.0,45,0.0,1,0.0,14.81,0.0,2025-11-27,-,0,1421.0
-,-,Dashing,-,880.32,-1.48,1212.26,0.0,110.65,0.49,24,0.0,6,0.0,16,0.0,2,0.0,25.0,0.0,2020-09-06,-,0,-
-,-,Frank92,-,880.28,-1.01,1363.12,0.0,160.95,0.34,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2025-07-10,-,0,1286.0
-,-,mdross1,-,879.88,-1.28,1261.75,0.0,127.29,0.43,16,0.0,4,0.0,12,0.0,0,0.0,25.0,0.0,2020-09-13,-,0,-
-,-,Quality_Jones,-,878.86,-1.71,1165.4,0.0,95.51,0.57,32,0.0,8,0.0,24,0.0,0,0.0,25.0,0.0,2023-01-22,-,0,-
-,-,namenloser,-,877.89,-2.43,1082.02,0.0,68.04,0.81,122,0.0,20,0.0,102,0.0,0,0.0,16.39,0.0,2023-02-27,-,0,-
-,-,ludnunes,-,877.34,-1.82,1146.31,0.0,89.66,0.61,36,0.0,7,0.0,29,0.0,0,0.0,19.44,0.0,2023-01-15,-,0,-
1310,-31,Gregoriocasa,-,877.04,-1.52,1198.87,0.0,107.28,0.51,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2026-01-27,-,0,-
-,-,Asturia,-,877.02,-1.23,1275.74,0.0,132.91,0.41,8,0.0,1,0.0,7,0.0,0,0.0,12.5,0.0,2023-01-22,-,0,-
1311,-31,Paajosh,-,875.84,-1.62,1177.75,0.0,100.64,0.54,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2025-12-14,-,0,1118.0
-,-,Conor_Osullivan,-,875.41,-1.65,1172.86,0.0,99.15,0.55,30,0.0,6,0.0,24,0.0,0,0.0,20.0,0.0,2020-05-22,-,0,-
-,-,OxyGee,-,874.7,-1.78,1155.11,0.0,93.47,0.59,48,0.0,9,0.0,39,0.0,0,0.0,18.75,0.0,2021-02-14,-,0,-
-,-,Darzic,-,873.16,-0.94,1393.05,0.0,173.3,0.31,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2020-09-06,-,0,-
1312,-31,TuZhao,-,872.51,-1.69,1162.46,0.0,96.65,0.56,26,0.0,5,0.0,21,0.0,0,0.0,19.23,0.0,2026-01-21,-,0,1287.0
-,-,Supergabibbo,-,872.07,-1.02,1351.87,0.0,159.93,0.34,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2020-12-02,-,0,-
-,-,nikos63,-,870.56,-1.06,1332.9,0.0,154.11,0.35,12,0.0,6,0.0,6,0.0,0,0.0,50.0,0.0,2020-08-09,-,0,-
-,-,Kefka,-,870.41,-1.36,1230.87,0.0,120.15,0.45,18,0.0,8,0.0,10,0.0,0,0.0,44.44,0.0,2019-12-30,-,0,-
-,-,Dim_,-,869.84,-1.67,1163.68,0.0,97.95,0.56,24,0.0,6,0.0,18,0.0,0,0.0,25.0,0.0,2023-01-15,-,0,-
-,-,Maximus,-,869.56,-1.41,1217.34,0.0,115.93,0.47,24,0.0,8,0.0,16,0.0,0,0.0,33.33,0.0,2021-05-21,-,0,-
1313,-31,Tapio,-,869.1,-1.53,1188.98,0.0,106.63,0.51,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2026-01-24,-,0,1287.0
-,-,Xanpat,-,869.0,-1.52,1191.26,0.0,107.42,0.51,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2020-09-06,-,0,-
1314,-30,deleted_user_6305131,-,868.61,-1.27,1253.31,0.0,128.23,0.42,8,0.0,0,0.0,6,0.0,2,0.0,0.0,0.0,2026-01-19,-,0,-
1315,-32,omoi,-,868.52,-1.6,1174.75,0.0,102.08,0.53,16,0.0,5,0.0,11,0.0,0,0.0,31.25,0.0,2026-01-20,-,0,-
-,-,DarthElendil,-,868.45,-1.01,1351.38,0.0,160.98,0.34,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2025-04-26,-,0,1388.0
-,-,Amadeus,-,868.22,-1.5,1194.97,0.0,108.92,0.5,12,0.0,0,0.0,10,0.0,2,0.0,0.0,0.0,2024-05-24,-,0,-
-,-,Xioph,-,867.49,-1.44,1209.71,0.0,114.07,0.48,18,0.0,5,0.0,13,0.0,0,0.0,27.78,0.0,2021-03-02,-,0,-
-,-,Yahtzee12,-,864.88,-3.01,1030.87,0.0,55.33,1.0,228,0.0,29,0.0,193,0.0,6,0.0,12.72,0.0,2024-02-26,-,0,-
-,-,Totox,-,864.54,-1.11,1306.76,0.0,147.41,0.37,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2023-02-12,-,0,-
-,-,Kubenboa,-,864.27,-1.75,1144.66,0.0,93.47,0.58,24,0.0,6,0.0,18,0.0,0,0.0,25.0,0.0,2023-01-15,-,0,-
1316,-31,Bafbeer,-,864.23,-1.19,1274.94,0.0,136.9,0.4,8,0.0,1,0.0,7,0.0,0,0.0,12.5,0.0,2026-01-21,-,0,-
-,-,ghudbishs,-,863.61,-1.1,1307.99,0.0,148.13,0.37,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2024-12-16,-,0,1287.0
-,-,kuatz,-,863.58,-1.16,1285.63,0.0,140.68,0.39,6,0.0,1,0.0,5,0.0,0,0.0,16.67,0.0,2023-01-15,-,0,-
-,-,Tasslehoff,-,863.48,-1.24,1258.35,0.0,131.62,0.41,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2020-12-02,-,0,-
1317,new,dragonst33d,-,862.93,412.93,1222.91,-277.09,119.99,119.99,10,10.0,2,2.0,8,8.0,0,0.0,20.0,20.0,2026-08-07,-,0,-
-,-,omniswitcher,-,862.74,-2.13,1092.95,0.0,76.74,0.71,72,0.0,13,0.0,59,0.0,0,0.0,18.06,0.0,2021-08-19,-,0,-
-,-,Leonidas33,-,862.61,-1.39,1215.77,0.0,117.72,0.46,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2025-01-23,-,0,1118.0
-,-,somanyrocks,-,862.34,-1.08,1314.98,0.0,150.88,0.36,6,0.0,1,0.0,5,0.0,0,0.0,16.67,0.0,2023-01-15,-,0,-
-,-,Shalif,FR,861.87,-2.28,1077.06,0.0,71.73,0.76,74,0.0,11,0.0,61,0.0,2,0.0,14.86,0.0,2024-12-04,-,0,1184.0
-,-,Pecheros,-,861.5,-1.62,1164.98,0.0,101.16,0.54,30,0.0,4,0.0,23,0.0,3,0.0,13.33,0.0,2023-01-15,-,0,-
-,-,mdscolour,-,861.19,-1.08,1315.91,0.0,151.57,0.36,12,0.0,6,0.0,6,0.0,0,0.0,50.0,0.0,2020-09-06,-,0,-
-,-,valvonauta,IT,860.88,-2.21,1082.63,0.0,73.92,0.74,54,0.0,7,0.0,46,0.0,1,0.0,12.96,0.0,2024-09-15,-,0,-
1318,-32,NerAlgert,-,860.81,-1.95,1112.62,0.0,83.94,0.65,24,0.0,3,0.0,21,0.0,0,0.0,12.5,0.0,2026-02-28,-,0,1385.0
-,-,Pampio,-,860.29,-0.96,1369.26,0.0,169.66,0.32,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2020-09-06,-,0,-
-,-,Markariah,-,859.72,-1.64,1158.19,0.0,99.49,0.55,24,0.0,5,0.0,13,0.0,6,0.0,20.83,0.0,2023-11-20,-,0,-
1319,-32,FeroDigital,-,859.65,-1.11,1302.46,0.0,147.6,0.37,6,0.0,1,0.0,5,0.0,0,0.0,16.67,0.0,2025-12-01,-,0,-
-,-,Dharkan_Kaazar,-,859.09,-1.1,1304.77,0.0,148.56,0.37,6,0.0,1,0.0,5,0.0,0,0.0,16.67,0.0,2024-02-23,-,0,-
-,-,BabaYega,-,858.0,-1.28,1240.12,0.0,127.37,0.43,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2021-08-24,-,0,-
1320,-32,monorator,-,857.98,-2.73,1037.83,0.0,59.95,0.91,102,0.0,12,0.0,90,0.0,0,0.0,11.76,0.0,2025-12-01,-,0,1184.0
-,-,Vaalna,-,855.95,-1.09,1304.3,0.0,149.45,0.36,8,0.0,1,0.0,7,0.0,0,0.0,12.5,0.0,2024-02-23,-,0,-
1321,-32,NedNutt,-,855.4,-1.15,1280.01,0.0,141.53,0.38,8,0.0,2,0.0,6,0.0,0,0.0,25.0,0.0,2026-02-03,-,0,-
-,-,DislexicBigot,-,855.28,-1.23,1252.21,0.0,132.31,0.41,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2021-06-02,-,0,-
-,-,Toniolamachine,-,854.19,-1.78,1130.13,0.0,91.98,0.59,30,0.0,6,0.0,24,0.0,0,0.0,20.0,0.0,2022-09-04,-,0,-
-,-,whiteraven,-,853.39,-0.92,1387.93,0.0,178.18,0.31,6,0.0,2,0.0,3,0.0,1,0.0,33.33,0.0,2020-06-28,-,0,-
-,-,Fakkus,-,853.02,-1.86,1116.15,0.0,87.71,0.62,24,0.0,4,0.0,18,0.0,2,0.0,16.67,0.0,2023-06-04,-,0,-
-,-,Scottus,-,852.34,-1.35,1216.3,0.0,121.32,0.45,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2022-05-29,-,0,-
1322,-32,Zielonus,-,852.15,-1.6,1159.27,0.0,102.38,0.53,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2026-02-03,-,0,1118.0
-,-,halbsodoppelt,-,851.93,-2.07,1089.21,0.0,79.09,0.69,38,0.0,6,0.0,30,0.0,2,0.0,15.79,0.0,2024-10-22,-,0,-
-,-,Left-fire-egg,-,851.79,-1.21,1257.92,0.0,135.38,0.4,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2024-02-23,-,0,-
1323,-32,iindianajones,-,851.62,-1.48,1182.52,0.0,110.3,0.49,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2026-01-26,-,0,1287.0
-,-,mliszewski,-,851.56,-1.23,1250.05,0.0,132.83,0.41,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2020-12-02,-,0,-
-,-,Eels,-,851.39,-1.49,1179.39,0.0,109.33,0.5,12,0.0,1,0.0,9,0.0,2,0.0,8.33,0.0,2025-02-28,-,0,1375.0
-,-,Strange,-,851.08,-1.45,1190.08,0.0,113.0,0.48,24,0.0,6,0.0,18,0.0,0,0.0,25.0,0.0,2020-03-30,-,0,-
-,-,Naawi,-,851.02,-1.09,1298.94,0.0,149.31,0.36,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2022-06-05,-,0,-
1324,-32,pjorge,-,850.0,-2.09,1084.86,0.0,78.29,0.7,40,0.0,7,0.0,32,0.0,1,0.0,17.5,0.0,2025-12-07,-,0,1184.0
1325,-31,andregois,-,849.58,-1.16,1270.29,0.0,140.24,0.39,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2026-01-25,-,0,-
-,-,JohnMarc,-,849.22,-2.16,1076.45,0.0,75.74,0.72,60,0.0,10,0.0,49,0.0,1,0.0,16.67,0.0,2022-09-04,-,0,-
1326,-33,Titiman,-,849.02,-1.96,1098.65,0.0,83.21,0.65,30,0.0,4,0.0,26,0.0,0,0.0,13.33,0.0,2026-01-24,-,0,1287.0
-,-,Ralpher,-,848.97,-0.93,1377.85,0.0,176.3,0.31,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2020-06-21,-,0,-
1327,-32,Oyvind,-,848.64,-1.8,1120.86,0.0,90.74,0.6,26,0.0,3,0.0,23,0.0,0,0.0,11.54,0.0,2025-12-03,-,0,1184.0
1328,-32,silverpaun,-,848.3,-1.09,1297.55,0.0,149.75,0.36,6,0.0,0,0.0,6,0.0,0,0.0,0.0,0.0,2026-01-26,-,0,-
-,-,Tikki,US,848.19,-2.25,1065.65,0.0,72.49,0.75,72,0.0,8,0.0,61,0.0,3,0.0,11.11,0.0,2022-06-05,-,0,-
-,-,Oenaud,-,845.96,-1.74,1127.28,0.0,93.77,0.58,24,0.0,4,0.0,20,0.0,0,0.0,16.67,0.0,2022-02-24,-,0,-
-,-,dburstin,-,845.95,-1.14,1275.49,0.0,143.18,0.38,8,0.0,2,0.0,6,0.0,0,0.0,25.0,0.0,2025-01-31,-,0,939.0
-,-,Edenys,-,842.51,-1.23,1240.44,0.0,132.64,0.41,8,0.0,1,0.0,7,0.0,0,0.0,12.5,0.0,2023-01-22,-,0,-
-,-,ArrogantMenace,-,841.83,-1.63,1142.37,0.0,100.18,0.54,36,0.0,8,0.0,28,0.0,0,0.0,22.22,0.0,2020-08-18,-,0,-
-,-,Ben96,-,840.93,-1.44,1180.6,0.0,113.23,0.48,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2020-09-13,-,0,-
1329,-32,Merclaw,-,840.87,-1.57,1152.86,0.0,104.0,0.52,14,0.0,1,0.0,13,0.0,0,0.0,7.14,0.0,2025-12-03,-,0,928.0
-,-,KILLERST,-,840.7,-1.6,1146.95,0.0,102.08,0.53,24,0.0,5,0.0,19,0.0,0,0.0,20.83,0.0,2021-05-20,-,0,-
-,-,RockStar3AG,-,840.54,-1.32,1211.53,0.0,123.66,0.44,12,0.0,2,0.0,9,0.0,1,0.0,16.67,0.0,2021-06-02,-,0,-
